BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Pre-sized,Rockit Trading Company Ltd,Pioneer,,R1580,R1580C,12/06/2024,PE1154,Final report sent,Smartfresh Air,77,27720,27720,1540,0,0,0,0,27720,0,0
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR4,R2851,R2851G,11/05/2024,P1219,Final report sent,Smartfresh Air,50,20601.604,18282.564,1015.143872,0,0,2319.04,128.8355543,18282.564,8401.068,1559449.26
Orchard pick,Rockit Trading Company Ltd,Springhill East,30,R2949,R2949M,24/07/2024,P1381,Final report sent,Smartfresh Air,84,34395.136,31597.776,1755.432,0,0,2797.36,155.4088873,31597.776,700.128,84015.36
Pre-sized,Rockit Trading Company Ltd,Paki Paki,PPRK1,R2786,R2786A,24/06/2024,PE1165,Final report sent,Smartfresh Air,23,8280,8280,460,0,0,0,0,8280,2880,561600
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,C,R2880,R2880C,9/09/2024,PE1239,Final report sent,Smartfresh CA,88,31680,31680,1760,0,0,0,0,31680,0,0
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR1,R2851,R2851A,12/04/2024,PE1092,Final report sent,Smartfresh Air,10,3600,3600,200,0,0,0,0,3600,0,0
Orchard pick,Rockit Trading Company Ltd,Lobb,A,R2899,R2899A,25/09/2024,P1516,Final report sent,Smartfresh CA,120,50320.672,36878.112,2048.784,0,0,13442.56,746.8088814,36878.112,206.244,24749.28
Pre-sized,Rockit Trading Company Ltd,HAU,,R2776,R2776A,14/05/2024,PE1130,Done,Smartfresh Air,131,47520,47520,2640,0,0,0,0,47520,21600,4212000
Orchard pick,Rockit Trading Company Ltd,Waipatu,WPR2,R2873,R2873B,15/09/2024,P1477,Final report sent,Smartfresh CA,45,19015.292,15922.332,884.574,0,0,3092.96,171.8311094,15922.332,158.256,18990.72
Pre-sized,Rockit Trading Company Ltd,Wharerangi,A1,R1936,R1936A,3/05/2024,PE1122,Final report sent,Smartfresh Air,6,2160,2160,120,0,0,0,0,2160,0,0
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR4,R2851,R2851G,5/09/2024,P1456,Final report sent,Smartfresh Air,75,31184.836,24504.516,1361.362,0,0,6680.32,371.1288852,24504.516,541.836,65020.32
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,D,R2880,R2880D,17/09/2024,PE1267,Final report sent,Smartfresh CA,8,2880,2880,160,0,0,0,0,2880,0,0
Pre-sized,Rockit Trading Company Ltd,Valley,B1,R2919,R2919B,2/06/2024,PE1146,Final report sent,Smartfresh Air,20,7200,7200,400,0,0,0,0,7200,3600,702000
Pre-sized,Rockit Trading Company Ltd,Wharerangi,A1,R1936,R1936A,4/05/2024,PE1123,Final report sent,Smartfresh Air,44,15840,15840,880,0,0,0,0,15840,7560,1474200
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,F2,R2880,R2880F,12/04/2024,PE1097,Final report sent,Smartfresh Air,27,9720,9720,540,0,0,0,0,9720,0,0
Pre-sized,Rockit Trading Company Ltd,Sim1,C1,R2900,R2900C,12/04/2024,PE1091,Final report sent,Smartfresh Air,14,5040,5040,280,0,0,0,0,5040,0,0
Pre-sized,Rockit Trading Company Ltd,Korokipo Verries,KVR1,R2872,R2872B,8/08/2024,PE1195,Final report sent,Smartfresh Air,13,4680,4680,260,0,0,0,0,4680,0,0
Orchard pick,Rockit Trading Company Ltd,Moa Apples,,R1626,R1626A,4/05/2024,P1198,Final report sent,Smartfresh Air,59,27035.452,22048.572,1224.903168,0,0,4986.88,277.0488861,22048.572,797.496,95699.52
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329B,8/08/2024,PE1194,Final report sent,Smartfresh Air,20,7200,7200,400,0,0,0,0,7200,0,0
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329A,25/09/2024,PE1279,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Pre-sized,Rockit Trading Company Ltd,Valley,B1,R2919,R2919B,25/09/2024,PE1286,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Orchard pick,Rockit Trading Company Ltd,Crown,,R2924,R2924B,16/08/2024,P1410,Final report sent,Smartfresh Air,122,51576.856,42016.536,2334.252,0,0,9560.32,531.1288836,42016.536,581.364,69763.68
Pre-sized,Rockit Trading Company Ltd,Riverside Apples,,R1021,R1021B,27/08/2024,PE1221,Final report sent,Smartfresh CA,45,16200,16200,900,0,0,0,0,16200,0,0
Orchard pick,Rockit Trading Company Ltd,HAU,A2,R2776,R2776A,25/06/2024,P1319,Final report sent,Smartfresh Air,53,22722.848,19638.648,1091.036,0,0,3084.2,171.3444427,19638.648,7417.764,1404765.18
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR3,R2873,R2873C,6/08/2024,PE1183,Done,Smartfresh Air,107,27360,27360,1520,0,0,0,0,27360,360,43200
Orchard pick,Rockit Trading Company Ltd,Crown,A2,R2924,R2924A,11/05/2024,P1220,Final report sent,Smartfresh Air,33,14837.83,13302.39,738.4675298,0,0,1535.44,85.30222137,13302.39,4887.216,926749.62
Orchard pick,Rockit Trading Company Ltd,Lawn Road,,R2917,R2917A,2/10/2024,P1543,Final report sent,Smartfresh CA,168,71896.216,59372.496,3298.472,0,0,12523.72,695.7622153,59372.496,3115.224,373826.88
Orchard pick,Rockit Trading Company Ltd,Home Block,B,R1230,R1230B,30/05/2024,P1249,Final report sent,Smartfresh Air,62,26320.957,22720.277,1262.238988,0,0,3600.68,200.0377758,22720.277,7105.212,1376908.74
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,,R2880,R2880F,12/09/2024,P1473,Final report sent,Smartfresh CA,108,45054.536,32489.136,1804.952,0,0,12565.4,698.0777708,32489.136,700.2,84024
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,F1,R2880,R2880F,13/09/2024,PE1253,Final report sent,Smartfresh CA,120,43200,43200,2400,0,0,0,0,43200,1080,129600
Orchard pick,Rockit Trading Company Ltd,Rockit STOCK ROADS,,R2534,R2534D,6/09/2024,P1461,Final report sent,Smartfresh CA,69,29051.692,22000.572,1222.254,0,0,7051.12,391.728885,22000.572,0,0
Orchard pick,Rockit Trading Company Ltd,Longlands,C1,R2329,R2329C,10/06/2024,P1283,Final report sent,Smartfresh Air,55,23513.004,21174.084,1176.338,0,0,2338.92,129.9399987,21174.084,4146.156,497538.72
Orchard pick,Rockit Trading Company Ltd,Longlands,,R2329,R2329B,8/08/2024,P1404,Final report sent,Smartfresh Air,27,11066.576,8927.856,495.992,0,0,2138.72,118.8177766,8927.856,663.12,79574.4
Orchard pick,Rockit Trading Company Ltd,Te Aute Road South,A,R2668,R2668A,17/09/2024,P1488,Final report sent,Smartfresh CA,10,4293.964,3533.724,196.318,0,0,760.24,42.23555513,3533.724,0,0
Pre-sized,Rockit Trading Company Ltd,Home Block,E8,R1230,R1230E,7/09/2024,PE1238,Final report sent,Smartfresh CA,10,3600,3600,200,0,0,0,0,3600,0,0
Pre-sized,Rockit Trading Company Ltd,Raukawa,,R1232,R1232A,12/06/2024,PE1155,Final report sent,Smartfresh Air,20,7200,7200,400,0,0,0,0,7200,0,0
Orchard pick,Rockit Trading Company Ltd,Raukawa,B4,R1232,R1232B,23/08/2024,P1424,Final report sent,Smartfresh CA,29,12722.632,9585.432,532.524,0,0,3137.2,174.2888871,9585.432,360.108,43212.96
Orchard pick,Rockit Trading Company Ltd,Sim1,C2,R2900,R2900C,17/09/2024,P1492,Final report sent,Smartfresh CA,6,2950.612,1710.612,95.034,0,0,1240,68.8888882,1710.612,0,0
Orchard pick,Rockit Trading Company Ltd,Sim1,,R2900,R2900B,25/09/2024,P1517,Final report sent,Smartfresh CA,180,78594.248,60513.768,3361.876,0,0,18080.48,1004.471101,60513.768,355.068,42608.16
Orchard pick,Rockit Trading Company Ltd,Parkhill Orchard,PHRK,R2841,R2841A,11/10/2024,P1567,Final report sent,Smartfresh CA,35,14377.144,11624.704,645.8168882,0,0,2752.44,152.9133318,11624.704,4942.24,888567.52
Pre-sized,Rockit Trading Company Ltd,Colaghty Orchard,A,R2929,R2929A,11/06/2024,PE1150,Final report sent,Smartfresh Air,40,14400,14400,800,0,0,0,0,14400,0,0
Orchard pick,Rockit Trading Company Ltd,Waipatu,WPR1,R2873,R2873A,16/09/2024,P1478,Final report sent,Smartfresh CA,10,3943.876,3061.476,170.082,0,0,882.4,49.02222173,3061.476,0,0
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,12/04/2024,PE1094,Final report sent,Smartfresh Air,23,8280,8280,460,0,0,0,0,8280,0,0
Pre-sized,Rockit Trading Company Ltd,Oceanview Orchard,A,R1899,R1899A,16/09/2024,PE1262,Final report sent,Smartfresh CA,39,14040,14040,780,0,0,0,0,14040,0,0
Pre-sized,Rockit Trading Company Ltd,Riverside Apples,,R1021,R1021A,27/08/2024,PE1224,Final report sent,Smartfresh CA,34,12240,12240,680,0,0,0,0,12240,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879A,26/08/2024,PE1201,Final report sent,Smartfresh CA,37,13320,13320,740,0,0,0,0,13320,0,0
Orchard pick,Rockit Trading Company Ltd,Valley,B1,R2919,R2919B,12/06/2024,P1289,Final report sent,Smartfresh Air,14,6058.44,5284.08,293.56,0,0,774.36,43.01999957,5284.08,222.876,26745.12
Orchard pick,Rockit Trading Company Ltd,Steel,A,R1149,R1149A,11/04/2024,P1148,Final report sent,Smartfresh Air,26,10992.02,9674.1,537.4497436,0,0,1317.92,73.21777705,9674.1,183.036,21964.32
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879B,19/08/2024,PE1200,Final report sent,Smartfresh CA,37,13320,13320,740,0,0,0,0,13320,360,43200
Pre-sized,Rockit Trading Company Ltd,HAU,,R2776,R2776B,11/10/2024,PE1310,Final report sent,Smartfresh CA,137,49320,49320,2740,0,0,0,0,49320,18720,3515400
Orchard pick,Rockit Trading Company Ltd,Home Block,F2,R1230,R1230F,16/09/2024,P1483,Final report sent,Smartfresh CA,14,5906.032,4134.312,229.684,0,0,1771.72,98.4288879,4134.312,0,0
Pre-sized,Rockit Trading Company Ltd,Crown,B1,R2924,R2924B,16/08/2024,PE1198,Done,Smartfresh Air,192,69480,69480,3860,0,0,0,0,69480,360,43200
Pre-sized,Rockit Trading Company Ltd,Lawn Road,A2,R2917,R2917A,2/10/2024,PE1297,Final report sent,Smartfresh CA,159,57240,57240,3180,0,0,0,0,57240,2880,345600
Orchard pick,Rockit Trading Company Ltd,Lawn Road,C2,R2917,R2917C,10/06/2024,P1280,Final report sent,Smartfresh Air,50,21098.284,18989.604,1054.978,0,0,2108.68,117.1488877,18989.604,990.468,118856.16
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,C1,R2879,R2879C,12/04/2024,PE1096,Final report sent,Smartfresh Air,23,8280,8280,460,0,0,0,0,8280,0,0
Pre-sized,Rockit Trading Company Ltd,Lawn Road,C2,R2917,R2917C,10/06/2024,PE1147,Final report sent,Smartfresh Air,40,14400,14400,800,0,0,0,0,14400,0,0
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR3,R2851,R2851E,16/08/2024,PE1197,Final report sent,Smartfresh Air,52,18720,18720,1040,0,0,0,0,18720,360,43200
Orchard pick,Rockit Trading Company Ltd,Sunvalley Orchard,WEST,R2732,R2732A,26/08/2024,P1428,Final report sent,Smartfresh CA,50,20738.272,17744.472,985.804,0,0,2993.8,166.3222206,17744.472,312.66,37519.2
Orchard pick,Rockit Trading Company Ltd,Sim2,,R2886,R2886B,13/09/2024,P1472,Final report sent,Smartfresh CA,62,25998.292,19993.572,1110.754,0,0,6004.72,333.5955522,19993.572,0,0
Pre-sized,Rockit Trading Company Ltd,Pioneer,,R1580,R1580A,2/06/2024,PE1143,Final report sent,Smartfresh Air,29,10440,10440,580,0,0,0,0,10440,3960,772200
Orchard pick,Rockit Trading Company Ltd,Napier Road South,B1,R2712,R2712B,17/09/2024,P1489,Final report sent,Smartfresh CA,12,5046.112,3948.912,219.384,0,0,1097.2,60.95555495,3948.912,0,0
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919D,17/06/2024,P1302,Final report sent,Smartfresh Air,258,110400.704,96091.344,5338.408,0,0,14309.36,794.9644365,96091.344,37441.944,6986132.28
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR5,R2851,R2851I,15/08/2024,P1408,Final report sent,Smartfresh Air,89,36893.312,29202.552,1622.364,0,0,7690.76,427.2644402,29202.552,1080.18,129621.6
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR3,R2851,R2851E,25/09/2024,PE1283,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Orchard pick,Rockit Trading Company Ltd,Parkhill Orchard,PHRK,R2841,R2841A,14/09/2024,P1476,Final report sent,Smartfresh CA,55,22511.444,17362.044,964.558,0,0,5149.4,286.0777749,17362.044,225.288,27034.56
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329D,26/08/2024,PE1220,Final report sent,Smartfresh Air,3,1080,1080,60,0,0,0,0,1080,0,0
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR3,R2873,R2873C,27/09/2024,PE1292,Final report sent,Smartfresh CA,74,26640,26640,1480,0,0,0,0,26640,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,D1,R2879,R2879D,12/04/2024,PE1099,Final report sent,Smartfresh Air,27,9720,9720,540,0,0,0,0,9720,0,0
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR1,R2873,R2873A,27/09/2024,PE1291,Final report sent,Smartfresh CA,35,12600,12600,700,0,0,0,0,12600,0,0
Orchard pick,Rockit Trading Company Ltd,Lawn Road,B1,R2917,R2917B,3/10/2024,P1546,Final report sent,Smartfresh CA,58,25059.964,22582.564,1254.586888,0,0,2477.4,137.633332,22582.564,9690.964,1661210.86
Pre-sized,Rockit Trading Company Ltd,Sim2,,R2886,R2886B,13/09/2024,PE1255,Final report sent,Smartfresh CA,55,19800,19800,1100,0,0,0,0,19800,0,0
Orchard pick,Rockit Trading Company Ltd,ROCKIT Omahu,A1,R2724,R2724A,2/10/2024,P1544,Final report sent,Smartfresh CA,57,24805.588,19696.788,1094.266,0,0,5108.8,283.8222194,19696.788,198,23760
Orchard pick,Rockit Trading Company Ltd,Waipatu,WPR3,R2873,R2873C,5/08/2024,P1392,Final report sent,Smartfresh Air,110,44391.604,38870.964,2159.498,0,0,5520.64,306.7022192,38870.964,544.572,65348.64
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919E,25/06/2024,P1320,Final report sent,Smartfresh Air,75,32371.776,28019.736,1556.652,0,0,4352.04,241.7799976,28019.736,10717.56,2000484
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919D,19/06/2024,PE1159,Final report sent,Smartfresh Air,274,98640,98640,5480,0,0,0,0,98640,38520,7187400
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,A1,R2879,R2879A,25/09/2024,PE1284,Final report sent,Smartfresh CA,1,360,360,20,0,0,0,0,360,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,A2,R2879,R2879A,24/08/2024,P1426,Final report sent,Smartfresh CA,35,14812.228,12096.828,672.046,0,0,2715.4,150.855554,12096.828,261.972,31436.64
Orchard pick,Rockit Trading Company Ltd,Sim1,B3,R2900,R2900B,11/04/2024,P1143,Final report sent,Smartfresh Air,34,14409.364,12817.844,712.1021932,0,0,1591.52,88.41777689,12817.844,176.568,21188.16
Pre-sized,Rockit Trading Company Ltd,Te Aute Road South,A,R2668,R2668A,17/09/2024,PE1269,Final report sent,Smartfresh CA,9,3240,3240,180,0,0,0,0,3240,0,0
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,12/04/2024,PE1087,Final report sent,Smartfresh Air,5,1800,1800,100,0,0,0,0,1800,0,0
Pre-sized,Rockit Trading Company Ltd,Korokipo,KCR3,R2850,R2850E,13/10/2024,PE1314,Final report sent,Smartfresh CA,44,15840,15840,880,0,0,0,0,15840,6120,1166400
Orchard pick,Rockit Trading Company Ltd,Valley,D2,R2919,R2919D,15/10/2024,P1579,Final report sent,Smartfresh CA,27,11420.676,9362.836,520.1575551,0,0,2057.84,114.3244433,9362.836,4130.884,704108.5
Orchard pick,Rockit Trading Company Ltd,Home Block,C,R1230,R1230C,8/09/2024,P1465,Final report sent,Smartfresh CA,98,42030.464,33453.144,1858.508,0,0,8577.32,476.517773,33453.144,0,0
Orchard pick,Rockit Trading Company Ltd,Korokipo Verries,KVR1,R2872,R2872B,5/09/2024,P1454,Final report sent,Smartfresh Air,29,11872.22,9590.58,532.81,0,0,2281.64,126.7577765,9590.58,670.788,80494.56
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR1,R2851,R2851A,11/04/2024,P1145,Final report sent,Smartfresh Air,10,4320.56,3880.28,215.571,0,0,440.28,24.45999976,3880.28,0,0
Orchard pick,Rockit Trading Company Ltd,Korokipo Verries,KVR1,R2872,R2872B,8/08/2024,P1405,Final report sent,Smartfresh Air,20,8070.436,6077.196,337.622,0,0,1993.24,110.7355544,6077.196,185.832,22299.84
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR3,R2873,R2873C,12/10/2024,PE1313,Final report sent,Smartfresh CA,28,10080,10080,560,0,0,0,0,10080,3960,772200
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,C,R2925,R2925C,7/08/2024,P1399,Final report sent,Smartfresh Air,33,14441.012,11787.012,654.834,0,0,2654,147.444443,11787.012,0,0
Orchard pick,Rockit Trading Company Ltd,Crown,B1,R2924,R2924B,17/08/2024,P1411,Final report sent,Smartfresh Air,85,35919.06,29047.86,1613.77,0,0,6871.2,381.7333295,29047.86,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879C,10/07/2024,PE1175,Final report sent,Smartfresh Air,136,48960,48960,2720,0,0,0,0,48960,19440,3547800
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879A,30/09/2024,PE1295,Final report sent,Smartfresh CA,107,38520,38520,2140,0,0,0,0,38520,720,86400
Orchard pick,Rockit Trading Company Ltd,Pioneer,C1,R1580,R1580C,4/09/2024,P1452,Final report sent,Smartfresh Air,14,5550.452,3640.932,202.274,0,0,1909.52,106.0844434,3640.932,2100.24,409546.8
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879B,27/09/2024,PE1294,Final report sent,Smartfresh CA,56,20160,20160,1120,0,0,0,0,20160,720,86400
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,E,R2880,R2880E,11/09/2024,PE1249,Final report sent,Smartfresh CA,84,30240,30240,1680,0,0,0,0,30240,0,0
Pre-sized,Rockit Trading Company Ltd,Riverside Apples,,R1021,R1021C,13/10/2024,PE1316,Final report sent,Smartfresh CA,25,9000,9000,500,0,0,0,0,9000,2880,561600
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879A,10/04/2024,P1141,Final report sent,Smartfresh Air,64,28233.706,24395.106,1355.282563,0,0,3838.6,213.2555534,24395.106,6732.726,1240037.82
Orchard pick,Rockit Trading Company Ltd,Valley,B1,R2919,R2919B,2/06/2024,P1256,Final report sent,Smartfresh Air,28,12751.042,10760.242,597.791,0,0,1990.8,110.5999989,10760.242,4039.524,764106.48
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,C,R2880,R2880C,30/09/2024,PE1296,Final report sent,Smartfresh CA,102,36720,36720,2040,0,0,0,0,36720,360,43200
Orchard pick,Rockit Trading Company Ltd,Waipatu,WPR1,R2873,R2873A,26/09/2024,P1519,Final report sent,Smartfresh CA,36,15504.588,13068.828,726.046,0,0,2435.76,135.3199986,13068.828,0,0
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR1,R2873,R2873A,16/09/2024,PE1260,Final report sent,Smartfresh CA,8,2880,2880,160,0,0,0,0,2880,0,0
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329D,25/09/2024,PE1288,Final report sent,Smartfresh Air,1,360,360,20,0,0,0,0,360,0,0
Pre-sized,Rockit Trading Company Ltd,Wharerangi,,R1936,R1936A,16/09/2024,PE1261,Final report sent,Smartfresh CA,24,8640,8640,480,0,0,0,0,8640,0,0
Orchard pick,Rockit Trading Company Ltd,Longacre Orchard,,R2219,R2219A,26/08/2024,P1427,Final report sent,Smartfresh CA,61,25920.976,20272.536,1126.252,0,0,5648.44,313.8022191,20272.536,283.752,34050.24
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,23/08/2024,P1425,Final report sent,Smartfresh CA,62,27948.96,21121.92,1173.44,0,0,6827.04,379.2799962,21121.92,621.18,74541.6
Orchard pick,Rockit Trading Company Ltd,Te Aute Road North,,R1233,R1233A,3/05/2024,P1199,Final report sent,Smartfresh Air,52,20965.99,16740.87,930.0435359,0,0,4225.12,234.7288865,16740.87,5700.954,1098156.78
Orchard pick,Rockit Trading Company Ltd,Pioneer,,R1580,R1580C,11/06/2024,P1291,Final report sent,Smartfresh Air,104,43245.352,37941.552,2107.864,0,0,5303.8,294.6555526,37941.552,2601.288,312154.56
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879A,16/10/2024,P1583,Final report sent,Smartfresh CA,122,52467.248,42118.008,2339.889331,0,0,10349.24,574.957772,42118.008,19631.076,3485873.04
Orchard pick,Rockit Trading Company Ltd,Colaghty Orchard,B,R2929,R2929B,12/06/2024,P1290,Final report sent,Smartfresh Air,27,11090.92,9908.64,550.48,0,0,1182.28,65.68222157,9908.64,349.992,41999.04
Pre-sized,Rockit Trading Company Ltd,Longacre Orchard,B1,R2219,R2219B,12/06/2024,PE1158,Final report sent,Smartfresh Air,8,2880,2880,160,0,0,0,0,2880,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879A,10/04/2024,PE1088,Final report sent,Smartfresh Air,35,12600,12600,700,0,0,0,0,12600,0,0
Orchard pick,Rockit Trading Company Ltd,Colaghty Orchard,A,R2929,R2929A,10/06/2024,P1284,Final report sent,Smartfresh Air,52,21780.968,19325.808,1073.656,0,0,2455.16,136.3977764,19325.808,1363.68,163641.6
Pre-sized,Rockit Trading Company Ltd,Lawn Road,B1,R2917,R2917B,3/10/2024,PE1303,Final report sent,Smartfresh CA,56,20160,20160,1120,0,0,0,0,20160,7560,1366200
Pre-sized,Rockit Trading Company Ltd,Moa Apples,,R1626,R1626A,26/07/2024,PE1181,Done,Smartfresh Air,69,23760,23760,1320,0,0,0,0,23760,720,86400
Pre-sized,Rockit Trading Company Ltd,Rockit STOCK ROADS,,R2534,R2534D,11/09/2024,PE1251,Final report sent,Smartfresh CA,23,8280,8280,460,0,0,0,0,8280,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,F2,R2880,R2880F,11/04/2024,P1151,Final report sent,Smartfresh Air,28,11298.96,9894.48,549.6929904,0,0,1404.48,78.02666589,9894.48,390.096,46811.52
Orchard pick,Rockit Trading Company Ltd,Sunvalley Orchard,NORTH,R2732,R2732A,5/09/2024,P1457,Final report sent,Smartfresh Air,21,8647.076,6574.716,365.262,0,0,2072.36,115.13111,6574.716,184.464,22135.68
Pre-sized,Rockit Trading Company Ltd,Springhill East,30,R2949,R2949M,11/06/2024,PE1148,Final report sent,Smartfresh Air,125,45000,45000,2500,0,0,0,0,45000,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,,R2880,R2880B,9/07/2024,P1345,Final report sent,Smartfresh Air,202,81193.78,70789.86,3932.77,0,0,10403.92,577.9955498,70789.86,25849.08,4949297.1
Orchard pick,Rockit Trading Company Ltd,Te Aute Road North,,R1233,R1233B,9/09/2024,P1466,Final report sent,Smartfresh CA,91,39189.832,32805.432,1822.524,0,0,6384.4,354.6888853,32805.432,125.172,15020.64
Orchard pick,Rockit Trading Company Ltd,Riverside Apples,,R1021,R1021C,13/10/2024,P1573,Final report sent,Smartfresh CA,29,12601.14,10765.5,598.0833329,0,0,1835.64,101.979999,10765.5,4133.976,745009.98
Pre-sized,Rockit Trading Company Ltd,Valley,D2,R2919,R2919D,15/10/2024,PE1320,Final report sent,Smartfresh CA,22,7920,7920,440,0,0,0,0,7920,3240,577800
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919C,30/03/2024,P1118,Final report sent,Smartfresh Air,133,56613.508,48856.308,2714.237901,0,0,7757.2,430.9555512,48856.308,1805.244,216629.28
Pre-sized,Rockit Trading Company Ltd,Korokipo,KCR3,R2850,R2850E,18/09/2024,PE1273,Final report sent,Smartfresh CA,19,6840,6840,380,0,0,0,0,6840,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879C,10/07/2024,P1346,Final report sent,Smartfresh Air,137,58322.404,51120.324,2840.018,0,0,7202.08,400.1155516,51120.324,19749.78,3606049.8
Pre-sized,Rockit Trading Company Ltd,Pioneer,C1,R1580,R1580C,2/06/2024,PE1144,Final report sent,Smartfresh Air,42,15120,15120,840,0,0,0,0,15120,5760,1123200
Orchard pick,Rockit Trading Company Ltd,Wharerangi,,R1936,R1936A,16/09/2024,P1480,Final report sent,Smartfresh CA,28,12523.88,9958.68,553.26,0,0,2565.2,142.5111097,9958.68,212.94,25552.8
Orchard pick,Rockit Trading Company Ltd,Raukawa,,R1232,R1232C,15/10/2024,P1577,Final report sent,Smartfresh CA,85,35083.716,29363.476,1631.30422,0,0,5720.24,317.7911079,29363.476,13420.48,2300672.8
